rt	wlen	unigramsurp	subject	docid	sentid	sentpos
824	3	1.2888894	s024	Boar	2	25
1211	3	1.2888894	s043	Boar	2	25
994	3	1.2888894	s052	Boar	2	25
837	3	1.2888894	s067	Boar	2	25
1187	3	1.2888894	s085	Boar	2	25
819	9	4.0410676	s009	Boar	2	26
1224	9	4.0410676	s016	Boar	2	26
1304	9	4.0410676	s024	Boar	2	26
1147	9	4.0410676	s043	Boar	2	26
945	9	4.0410676	s052	Boar	2	26
1180	9	4.0410676	s067	Boar	2	26
664	9	4.0410676	s085	Boar	2	26
481	2	1.6084222	s009	Boar	2	27
944	2	1.6084222	s016	Boar	2	27
592	2	1.6084222	s024	Boar	2	27
599	2	1.6084222	s043	Boar	2	27
525	2	1.6084222	s052	Boar	2	27
786	2	1.6084222	s067	Boar	2	27
829	2	1.6084222	s085	Boar	2	27
844	9	6.2114596	s009	Boar	2	28
1288	9	6.2114596	s016	Boar	2	28
681	9	6.2114596	s043	Boar	2	28
835	9	6.2114596	s052	Boar	2	28
696	9	6.2114596	s067	Boar	2	28
801	9	6.2114596	s085	Boar	2	28
608	3	1.6774666	s009	Boar	2	29
620	3	1.6774666	s016	Boar	2	29
624	3	1.6774666	s024	Boar	2	29
2193	3	1.6774666	s043	Boar	2	29
666	3	1.6774666	s052	Boar	2	29
1950	3	1.6774666	s067	Boar	2	29
671	3	1.6774666	s085	Boar	2	29
1041	2	3.045715	s009	Boar	2	30
584	2	3.045715	s016	Boar	2	30
716	2	3.045715	s043	Boar	2	30
893	2	3.045715	s052	Boar	2	30
2332	2	3.045715	s067	Boar	2	30
1472	2	3.045715	s085	Boar	2	30
786	3	3.0061398	s009	Boar	2	31
472	3	3.0061398	s016	Boar	2	31
840	3	3.0061398	s024	Boar	2	31
1538	3	3.0061398	s043	Boar	2	31
745	3	3.0061398	s052	Boar	2	31
634	3	3.0061398	s067	Boar	2	31
820	3	3.0061398	s085	Boar	2	31
720	4	2.583027	s009	Boar	2	32
883	4	2.583027	s016	Boar	2	32
736	4	2.583027	s024	Boar	2	32
701	4	2.583027	s043	Boar	2	32
755	4	2.583027	s052	Boar	2	32
767	4	2.583027	s067	Boar	2	32
794	4	2.583027	s085	Boar	2	32
443	2	1.6088771	s009	Boar	2	33
752	2	1.6088771	s016	Boar	2	33
816	2	1.6088771	s024	Boar	2	33
759	2	1.6088771	s043	Boar	2	33
756	2	1.6088771	s052	Boar	2	33
591	2	1.6088771	s067	Boar	2	33
614	2	1.6088771	s085	Boar	2	33
836	2	3.4059813	s009	Boar	2	34
601	2	3.4059813	s016	Boar	2	34
856	2	3.4059813	s024	Boar	2	34
651	2	3.4059813	s043	Boar	2	34
686	2	3.4059813	s052	Boar	2	34
